# Date:     2019-03-06 15:19:54
# Database: cvs
# Target:   blg_t2cep
# Query:    I>=10 and I<=25 
# Objects:  357
# Columns:
# ID	Field	StarID	I	V	P_1	dP_1	A_1
 339	 203.4	91851	13.316	16.049	37.1429357	0.0454991	0.759
 340	 344.3	37800	14.852	18.148	42.4107600	0.0317501	0.934
 341	 179.5	87981	18.171	-99.99	46.3244800	0.0123427	0.241
 342	 123.5	57320	12.768	14.544	31.0476277	0.0035423	0.842
 343	 118.3	140788	16.499	18.995	24.8080724	0.0016555	0.978
 344	 195.5	93752	13.200	16.279	42.2345988	0.0069210	0.231
 345	 195.3	125143	15.034	18.407	36.9154894	0.0056145	0.596
 346	 119.6	75214	13.160	-99.99	29.8350183	0.0129692	1.357
 347	 205.8	93	14.900	18.011	25.5794121	0.0008637	0.604
 348	 205.6	64226	15.813	18.559	36.3246400	0.0080797	0.316
 349	 214.1	97808	13.146	15.254	51.4704100	0.0204518	0.364
 350	 215.6	178419	14.158	16.312	43.6047526	0.0442639	0.577
 351	 241.5	131671	13.364	16.009	44.1236751	0.0320415	0.462
 352	 217.5	108322	12.154	14.231	52.1792671	0.0768305	0.234
 353	 249.4	51258	14.568	17.247	28.9739009	0.0095785	0.274
 354	 236.5	174020	13.200	16.147	33.2305181	0.0050355	0.484
 355	 237.1	71710	12.570	13.962	21.4267746	0.0085991	0.725
 356	 256.5	94977	13.446	14.889	35.4781155	0.0363260	0.756
 357	 264.5	102820	12.232	13.448	58.4803529	0.4436361	0.753
